track_id,artists,trackname,album,name_of_playlist
5nayhWICkQGMTkisxVMbRw,Playboi Carti,FlatBed Freestyle,Die Lit,the three
45Ln3F9PRPYTXBcMFkZMzS,Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,Die Lit,the three
1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,Magnolia,Playboi Carti,the three
59J5nzL1KniFHnU120dQzt,Playboi Carti,wokeuplikethis*,Playboi Carti,the three
5UusfWUMMLEXLMc1ViNZoe,Playboi Carti,@ MEH,@ MEH,the three
0ntHEP3DJyS2qgJgqbWNxh,EARTHGANG,House (feat. Mick Jenkins),Rags,the three
0udCQ78g2s33TELmtndMqd,Mick Jenkins,Communicate (feat. Ravyn Lenae),The Healing Component,the three
3SEZgDncfa1sqjThdI9JcJ,Mick Jenkins,Angles (feat. Noname & Xavier Omär),The Healing Component,the three
7AewiR0SOgfi8AXBnQz6Ih,Lou Phelps,Average (feat. Kallitechnis),Average (feat. Kallitechnis),the three
2TU0upOm2NCOS7yBY6rOfK,Lou Phelps,What Time Is It? (feat. Innanet James),What Time Is It? (feat. Innanet James),the three
4pNTrolPWfG6drXMbJXqZK,Ciscero,Function,Function,the three
4YdRnTnXYwgI48kkzWy6uk,Saba,BUSY / SIRENS,CARE FOR ME,the three
5AdhyCxxguV1wXde1vqgWC,Saba,BROKEN GIRLS,CARE FOR ME,the three
7LBdv0ek7Tj2s0bgxmlrC6,Saba,CALLIGRAPHY,CARE FOR ME,the three
0Q8A7MPsoFg72xcVFBsS8Q,Saba,LOGOUT,CARE FOR ME,the three
42tBlHWL3VfDkUM2iWcc5p,BROCKHAMPTON,GUMMY,SATURATION II,the three
1ZuQVisBNDRm51QIN9MajR,BROCKHAMPTON,JELLO,SATURATION II,the three
6MTA4AwgmjVASTXpBEwvn8,BROCKHAMPTON,SWAMP,SATURATION II,the three
66dQdXAbtuPdSasezCQVZE,BROCKHAMPTON,SUMMER,SATURATION II,the three
7HRv1sYuwgoea1m0JRvChV,BROCKHAMPTON,GOLD,SATURATION,the three
1xfFPJdRjgDAaMcDgbXwyh,BROCKHAMPTON,STAR,SATURATION,the three
1H3GqbebLfBjqY8rW9oVyq,BROCKHAMPTON,BOYS,SATURATION,the three
3BVC9lRwjgKrWwDxgFAKA8,SOB X RBE,Anti,SOB X RBE,the three
5vW1RK8TkUCyICZs0qfqrT,SOB X RBE,Block Boys,SOB X RBE,the three
3Znk9X3XcfIWRYyfc8d0YZ,SOB X RBE,Keep It on the Real,SOB X RBE,the three
0YTqRQdMSdRGE75oQ8TMra,Jay Prince,Last Summer,Late Summers,the three
6VpN3fL6LBIeAbRpGlJCII,Jay Prince,With U,CHERISH,the three
0xxIqxi5L1KCiFtKAl1GHZ,Jay Prince,Downtime,CHERISH,the three
4dRY6HTHcEUzzHsI6vSXlw,Ryan Trey,"Evolving, Pt.1",august,the three
20EsRhRmoqwgb8lWp1Ts0l,Ryan Trey,Bradley Beal Freestyle,august,the three
531MBHrtGF6nAkK4zUafi9,Ryan Trey,Mutual Butterflies,august,the three
5nD5d1zQz091zgnIHbvgUD,Ryan Trey,Temptations,august,the three
6MkQb4AuZ28zJPPMyfCplO,Ryan Trey,Break on Monday,august,the three
4yG3P9BGIo9Mslr2rwstMy,Ryan Trey,Letter to You,august,the three
3VRH0UqoAYXLj1WTqpuwHi,Ryan Trey,Bound,august,the three
3W0Z0eVGsMZaieSGgL3MJy,Innanet James,Where We Go,Keep It Clean,the three
0PzTzlXfiOq0sK8PCYiwsb,Innanet James,Better Without You,Keep It Clean,the three
4dClidrIZyKVYkeh7HwrZO,Lou Phelps,Squeeze (feat. JAHKOY),Squeeze,the three
1paRikgtoQ7E3eez3DHLEW,Lou Phelps,Miss Phatty,002 / LOVE ME,the three
17BhgbWsdCP7N4OIfhRQsS,Sean Leon,Iceberg Slim,Sean Leon (The Death Of),the three
7vwA52NdZgu4ssjxmnlhox,Sean Leon,Bank Account,Sean Leon (The Death Of),the three
5pWeNXjd7yBLV2CKdKF8zt,Sean Leon,Food.Chain,Sean Leon (The Death Of),the three
08ACbMUO8l7d2RjwyWYcZx,Sean Leon,If I Could Be With You,Sean Leon (The Death Of),the three
23MF54AtVwpMkuQb4R70Rq,Smino,KOVERT,NOIR,the three
2KmYPKHvwG77NAcDpFlLBm,Smino,L.M.F.,NOIR,the three
6tdAmfHEd4cXEkNbCMgOP9,Smino,KLINK,NOIR,the three
0rC1Zom3PFrEYwdl4QN785,Smino,TEQUILA MOCKINGBIRD,NOIR,the three
3WiCqMk8qUREjPsjubiPIK,Smino,SPINZ,NOIR,the three
3X6YJcqTinaNraRvojF62K,Smino,Z4L (with Bari & Jay2),NOIR,the three
1fJL0EgvPrLIltnF0d3CbR,Smino,WE GOT THE BISCUITS,NOIR,the three
5ORcI4U6qYkU5JGHjkaDzX,Smino,FENTY SEX (with Dreezy),NOIR,the three
39M9NokmUeFunaUNoCIsp4,Smino,BAM 2x,NOIR,the three
7KlM4piqWaxB69tvnhlrns,Smino,VERIZON,NOIR,the three
6Vzs6iGlyb4JTnVX5NAoFk,88GLAM,Purple Baguettes,88GLAM2,the three
0gug4OpbNYLVXrFvtDWnxv,88GLAM,Blue Faces,88GLAM2,the three
3Zcv9IeYgCvEhxFTfsduaQ,88GLAM,Lil Boat,88GLAM2,the three
4gisR7ioGxHZJ9jEJnNybI,88GLAM,Big Ship,88GLAM2,the three
1gR8SPZg0pDh2F0Ridi3e1,88GLAM,It's A Flex (feat. NAV),88GLAM2,the three
16hJhVQWkrbnwYxrtTxK9K,88GLAM,Talk Nice,88GLAM2,the three
4n2zeP8KUWNgJr1bZnbslz,88GLAM,Drop Top,88GLAM2,the three
4qJKFz5AH7O1HBfVIDSMD8,88GLAM,Kawasaki,88GLAM2,the three
3uy6aRVhLuKy85EJoffsUM,88GLAM,Racks (feat. Gunna),88GLAM2,the three
1GCUwcKc1JumCbg4jv7KtA,88GLAM,Kitchen Witch,88GLAM2,the three
2Rkhxx8afqkb93AwIAMbJN,88GLAM,Snow Globe,88GLAM2,the three
0RgeiH9PjWmyZtJCxevLoo,88GLAM,GPS,88GLAM2,the three
0mlkKsmwaWPeMIBlaYJXYA,88GLAM,ENDZ,88GLAM2,the three
5CjV03o6e1Ja0zLdttXVji,Mick Jenkins,Gwendolynn's Apprehension,Pieces of a Man,the three
1n8wr8tRHs5jmBxNWXedcn,Shoreline Mafia,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",Shoreline Mafia Presents Rob Vicious: Traplantic,the three
64FxpKdU055iIaMDY441Qc,Shoreline Mafia,Whuss the Deal,ShorelineDoThatShit,the three
18pwD0HrweX8oCgIkayRb4,Shoreline Mafia,Nun Major,ShorelineDoThatShit,the three
2bkKnaLTMCghmjlcPBoYWd,Shoreline Mafia,Musty,ShorelineDoThatShit,the three
4k0ZX0KlMBEOlTp5vexIrT,Shoreline Mafia,Bottle Service,ShorelineDoThatShit,the three
5lcRPz56p4uCvT24DOQUG6,Jay Prince,RUN IT DOWN,WONDER,the three
730I1akJZg0ryqwH9v8a9f,Jay Prince,WONDER,WONDER,the three
2jchUbTSsBVUqANuW11S3G,Jay Prince,LUV ME,WONDER,the three
6Ic2MP2hzoBLe3r1VIle8J,GoldLink,Joke Ting (feat. Ari PenSmith),Diaspora,the three
5uNhWDGP1gXxS2IZl2alGx,GoldLink,Maniac,Diaspora,the three
2qU9ro2FCa4WjFqTg1JFJP,GoldLink,Days Like This (feat. Khalid),Diaspora,the three
1jCzgZFEl8RCUxDRvAGWUF,GoldLink,Cokewhite (feat. Pusha T),Diaspora,the three
2p37Mfy2PWajgOS3i2aaep,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",Diaspora,the three
7cbIvmi6lNmBwIQFFPmEZh,Cousin Stizz,Shoutout,Suffolk County,the three
0qJ0eDL9Szdylx4kRRCBQD,Cousin Stizz,Perfect (feat. City Girls),Trying To Find My Next Thrill,the three
2LWDBGSvTl9TjCVQKC2YgO,Cousin Stizz,Anonymous (feat. Smino),Trying To Find My Next Thrill,the three
1qPekL20Bph8Ma9YgTR25H,Cousin Stizz,STP,Trying To Find My Next Thrill,the three
2g7F8K7tsPUVE9nzwq6TDu,Cousin Stizz,Soso (feat. $ean Wire),Trying To Find My Next Thrill,the three
694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,NO HALO,GINGER,the three
6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR,GINGER,the three
4D7NrSeqkTarBrJ80b2sBc,Lil Uzi Vert,Leaders (feat. NAV),Eternal Atake (Deluxe) - LUV vs. The World 2,the three
5yzTMBpElOOx4lOsxtObLw,Buddy,She Think,Janktape Vol. 1,the three
72RAYu1b2ijtdxaalEMEun,Kent Jamz,In Search Of,Janktape Vol. 1,the three
1ebeztlxfpA2fLSYW85CzX,Buddy,Pass By Me,Janktape Vol. 1,the three
6dug9tdWxSlkieRCK8CVt0,Buddy,Burberry Party,Janktape Vol. 1,the three
07cTSeXQ39cyu732J0gbG8,Buddy,Terrified,Janktape Vol. 1,the three
71j0iijUh2yq3j8ppxsmgH,Buddy,To The Grave,Janktape Vol. 1,the three
2CvDekQq4ZNcL47vp95r5i,Buddy,Heatwave,Janktape Vol. 1,the three
3p6aRY0ePa28UM85z9X8iS,NAV,Good Intentions (Intro),Good Intentions,the three
2AEtYwT9qg2eY6G9m8wOxW,NAV,My Business (feat. Future),Good Intentions,the three
6KhmSJf9FvdAcq1tr8LcYD,NAV,Status (feat. Lil Uzi Vert),Good Intentions,the three
6NzuJWrNriXAbSmscAuSIq,NAV,Codeine (feat. Gunna),Good Intentions,the three
2oPQVgCTYqA4FBknwAroWf,NAV,Saint Laurenttt,Good Intentions,the three
6LUE5WlMgrpLouGxzJAUVv,NAV,Run It Up (feat. Pop Smoke),Good Intentions,the three
4ulSNRO7AfjfwHXT7wQdf0,NAV,My Space,Good Intentions,the three
5yl7WSp3mot0nepMQvfVi3,IDK,42 Hundred Choices,Is He Real?,the three
3pX767GK22EHwYEYLNEuoo,IDK,24,Is He Real?,the three
5oady7OSE7dH7LHiqmb3Cr,A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",Floor Seats,the three
